"id","created_at","source","original_text","lang","favorite_count","retweet_count","original_author","hashtags","user_mentions"
"1245810999409676289","Thu Apr 02 20:31:02 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WelcomingATL: ¿Tiene síntomas de #COVID19? Si es así, utiliza este gráfico para saber cómo hacerte la prueba.

Visita https://t.co/egY…","es","0","9","CityofAtlanta","COVID19","WelcomingATL"
"1245810991000158208","Thu Apr 02 20:31:00 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SinlineaMx: ¡Agárrense! ‼️
MORENA ya anunció que donará el 50% de sus prerrogativas y ya mandó carta al INE, para que diga como regresa…","es","0","117","nusferatuzodd","","SinlineaMx"
"1245810982712160269","Thu Apr 02 20:30:58 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @dw_espanol: Puntos débiles de la salud en México ante el COVID-19

▪️Personal sanitario expuesto por falta de material de protección…","es","0","2163","bachtrax","","dw_espanol"
"1245810974151622656","Thu Apr 02 20:30:56 +0000 2020","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @CMonteroOficial: Aumento de contagios y morgues desbordadas, el drama de #Ecuador ante el #COVID19 https://t.co/4c1xlA2TZQ","es","0","0","sixtovasquezpar","Ecuador, COVID19","CMonteroOficial"
"1245810965947523078","Thu Apr 02 20:30:54 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IvanOntanedaB: Se trabajó con @AgriculturaEc y @ObrasPublicasEc en un nuevo corredor logístico que permita el traslado de productos de…","es","0","0","CoronelKarolay","","IvanOntanedaB, AgriculturaEc, ObrasPublicasEc"
"1245810956988530688","Thu Apr 02 20:30:52 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@briebriejoy Horrific. https://t.co/h4hwpflRsZ","es","0","81","PsycTea","","briebriejoy"
"1245810949170384896","Thu Apr 02 20:30:50 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @martibatres: Muy bien. Morena ya anunció que donará el 50% de sus prerrogativas para la compra de equipo médico.
Tienen la palabra los…","es","0","570","Isaias72439940","","martibatres"
"1245810940328771584","Thu Apr 02 20:30:48 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @asensioji: Gaurkoan #Gipuzkoa lko udalekin #Koordinazioa eta #Elkarlana indartzeko aurrerapausoa eman da Aldunditik.

Imprescindible re…","es","0","29","BorinagaP","Gipuzkoa, Koordinazioa, Elkarlana","asensioji"
"1245810932443484160","Thu Apr 02 20:30:46 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @YoSoyRasputin: En estos instantes la empresa de producción de Noticias CNN está descosiendo a Trump, Presidente de USA 🇺🇸, por varias r…","es","0","0","juang44","","YoSoyRasputin"
"1245810923681525768","Thu Apr 02 20:30:44 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HINCAPIEDATOS: Hasta hoy (2 de abril) en 9 departamentos de Colombia aún no se registra un solo caso de Covid-19:

👉Amazonas
👉Arauca…","es","0","8","MarianitoMaria1","","HINCAPIEDATOS"
